Date/Time,Word Count,de,en,es,fr
2026.02.13-10.04.03,1742,0,1742,0,0
2026.02.13-10.05.12,1742,0,1742,0,774
2026.02.13-10.06.03,1742,0,1742,0,1152
2026.02.13-10.07.02,1742,0,1742,774,1152
2026.02.13-10.08.50,1742,0,1742,890,1152
2026.02.13-10.22.01,1742,0,1742,896,1152
2026.02.13-11.07.31,1742,0,1742,987,1152
2026.02.13-11.16.38,1742,0,1742,1058,1152
2026.02.13-11.23.32,1742,0,1742,1130,1152
2026.02.13-11.29.48,1742,0,1742,1224,1152
2026.02.13-11.37.07,1742,0,1742,1307,1122
2026.02.13-11.39.56,1742,0,1742,1427,1122
2026.02.13-11.42.00,1742,0,1742,1452,1122
